Condition;Emotion;Subject;RT;Valence;Session;Group
Baseline;Disgust;21MVA;6.837999999999999;5.0;1;1
Think;Sadness;21MVA;5.946666666666666;4.666666666666667;1;1
No-Think;Sadness;21MVA;6.258000000000001;5.0;1;1
Baseline;Sadness;21MVA;6.3116666666666665;4.666666666666667;1;1
Think;Neutral;22DME;7.411111111111111;4.0;1;1
No-Think;Neutral;22DME;6.594999999999999;5.5;1;1
Baseline;Neutral;22DME;7.091818181818181;4.7272727272727275;1;1
Think;Disgust;22DME;7.755;3.2;1;1
No-Think;Disgust;22DME;7.456666666666666;3.0;1;1
Baseline;Disgust;22DME;6.78;3.75;1;1
Think;Sadness;22DME;8.145;3.0;1;1
No-Think;Sadness;22DME;7.4399999999999995;3.0;1;1
Baseline;Sadness;22DME;7.208333333333333;4.166666666666667;1;1
Think;Neutral;23RGR;6.703333333333334;5.583333333333333;1;1
No-Think;Neutral;23RGR;6.725454545454545;4.2727272727272725;1;1
Baseline;Neutral;23RGR;6.024444444444445;5.3;1;1
Think;Disgust;23RGR;6.045999999999999;3.0;1;1
No-Think;Disgust;23RGR;6.363333333333333;4.0;1;1
Baseline;Disgust;23RGR;6.736666666666667;3.0;1;1
Think;Sadness;23RGR;6.445;3.1666666666666665;1;1
No-Think;Sadness;23RGR;6.41;3.25;1;1
Baseline;Sadness;23RGR;6.915;3.3333333333333335;1;1
Think;Neutral;24TEM;6.2650000000000015;6.833333333333333;1;1
No-Think;Neutral;24TEM;5.979166666666667;5.5;1;1
Baseline;Neutral;24TEM;5.71;4.090909090909091;1;1
Think;Disgust;24TEM;5.846666666666665;2.0;1;1
No-Think;Disgust;24TEM;5.9383333333333335;1.0;1;1
Baseline;Disgust;24TEM;5.824;1.0;1;1
Think;Sadness;24TEM;5.733333333333333;1.3333333333333333;1;1
No-Think;Sadness;24TEM;5.708;1.8;1;1
Baseline;Sadness;24TEM;6.154;1.4;1;1
Think;Neutral;25LLU;6.571818181818182;5.818181818181818;1;1
No-Think;Neutral;25LLU;6.1472727272727266;4.636363636363637;1;1
Baseline;Neutral;25LLU;5.761666666666667;6.5;1;1
Think;Disgust;25LLU;6.510000000000001;2.8333333333333335;1;1
No-Think;Disgust;25LLU;6.808333333333334;4.0;1;1
Baseline;Disgust;25LLU;6.598333333333333;3.0;1;1
Think;Sadness;25LLU;8.01;3.0;1;1
No-Think;Sadness;25LLU;7.195;3.5;1;1
Baseline;Sadness;25LLU;6.476000000000001;2.2;1;1
Think;Neutral;26JET;7.732000000000001;4.3;1;1
No-Think;Neutral;26JET;7.434545454545455;5.75;1;1
Baseline;Neutral;26JET;8.211818181818181;6.454545454545454;1;1
Think;Disgust;26JET;7.168000000000001;2.8;1;1
No-Think;Disgust;26JET;7.082000000000001;2.2;1;1
Baseline;Disgust;26JET;6.95;2.2;1;1
Think;Sadness;26JET;6.543333333333334;2.3333333333333335;1;1
No-Think;Sadness;26JET;7.286;2.4;1;1
Baseline;Sadness;26JET;7.04;2.6666666666666665;1;1
Think;Neutral;27GMA;7.6481818181818175;4.7272727272727275;1;1
No-Think;Neutral;27GMA;6.987272727272727;6.083333333333333;1;1
Baseline;Neutral;27GMA;7.725000000000001;4.25;1;1
Think;Disgust;27GMA;6.843333333333334;2.1666666666666665;1;1
No-Think;Disgust;27GMA;7.292;2.4;1;1
Baseline;Disgust;27GMA;7.994;3.0;1;1
Think;Sadness;27GMA;6.591999999999999;3.2;1;1
No-Think;Sadness;27GMA;7.028333333333333;2.6666666666666665;1;1
Baseline;Sadness;27GMA;7.146666666666667;2.6666666666666665;1;1
Think;Neutral;28PJU;8.89125;5.3;1;1
No-Think;Neutral;28PJU;7.739;5.4;1;1
Baseline;Neutral;28PJU;7.9941666666666675;5.916666666666667;1;1
Think;Disgust;28PJU;7.5280000000000005;4.0;1;1
No-Think;Disgust;28PJU;7.98;3.2;1;1
Baseline;Disgust;28PJU;7.564;3.5;1;1
Think;Sadness;28PJU;8.031666666666666;3.6666666666666665;1;1
No-Think;Sadness;28PJU;8.293333333333335;1.6666666666666667;1;1
Baseline;Sadness;28PJU;7.906666666666666;2.8333333333333335;1;1
Think;Neutral;29HJU;6.100833333333333;5.333333333333333;1;1
No-Think;Neutral;29HJU;6.078333333333333;5.0;1;1
Baseline;Neutral;29HJU;5.67;5.6;1;1
Think;Disgust;29HJU;6.148333333333333;2.6666666666666665;1;1
No-Think;Disgust;29HJU;5.821666666666666;2.3333333333333335;1;1
Baseline;Disgust;29HJU;5.752;2.6;1;1
Think;Sadness;29HJU;5.978333333333333;3.3333333333333335;1;1
No-Think;Sadness;29HJU;5.621666666666667;3.0;1;1
Baseline;Sadness;29HJU;5.618;3.4;1;1
Think;Neutral;01MMI;6.226000000000001;5.3;2;1
No-Think;Neutral;01MMI;6.335833333333333;5.583333333333333;2;1
Baseline;Neutral;01MMI;7.314166666666666;6.333333333333333;2;1
Think;Disgust;01MMI;7.239999999999999;4.166666666666667;2;1
No-Think;Disgust;01MMI;7.2540000000000004;3.4;2;1
Baseline;Disgust;01MMI;7.369999999999998;3.1666666666666665;2;1
Think;Sadness;01MMI;7.223333333333334;3.1666666666666665;2;1
No-Think;Sadness;01MMI;8.112;3.8;2;1
Baseline;Sadness;01MMI;7.356;3.5;2;1
Think;Neutral;02FAU;7.231000000000002;6.166666666666667;2;1
No-Think;Neutral;02FAU;7.87375;6.2;2;1
Baseline;Neutral;02FAU;7.4879999999999995;5.545454545454546;2;1
Think;Disgust;02FAU;7.631666666666667;2.6666666666666665;2;1
No-Think;Disgust;02FAU;6.873333333333334;2.25;2;1
Baseline;Disgust;02FAU;6.9750000000000005;3.1666666666666665;2;1
Think;Sadness;02FAU;7.4025;2.8333333333333335;2;1
No-Think;Sadness;02FAU;6.696666666666666;2.3333333333333335;2;1
Baseline;Sadness;02FAU;6.355;2.4;2;1
Think;Neutral;03RVO;6.738181818181817;7.7272727272727275;2;1
No-Think;Neutral;03RVO;6.263636363636365;7.181818181818182;2;1
Baseline;Neutral;03RVO;7.183333333333334;5.666666666666667;2;1
Think;Disgust;03RVO;6.718333333333333;1.0;2;1
No-Think;Disgust;03RVO;7.087999999999999;1.8;2;1
Baseline;Disgust;03RVO;6.390000000000001;3.0;2;1
Think;Sadness;03RVO;7.011666666666667;1.1666666666666667;2;1
No-Think;Sadness;03RVO;7.0975;1.0;2;1
Baseline;Sadness;03RVO;7.335000000000001;1.8333333333333333;2;1
Think;Neutral;04PLA;6.065833333333334;5.25;2;1
No-Think;Neutral;04PLA;6.353333333333333;6.916666666666667;2;1
Baseline;Neutral;04PLA;6.125555555555556;5.666666666666667;2;1
Think;Disgust;04PLA;6.328;3.0;2;1
No-Think;Disgust;04PLA;6.237500000000001;2.5;2;1
Baseline;Disgust;04PLA;6.098333333333334;2.6666666666666665;2;1
Think;Sadness;04PLA;6.254;1.6;2;1
No-Think;Sadness;04PLA;5.921666666666667;1.5;2;1
Baseline;Sadness;04PLA;5.8340000000000005;2.0;2;1
Think;Neutral;05PPI;8.248888888888887;5.25;2;1
No-Think;Neutral;05PPI;8.375555555555556;4.2;2;1
Baseline;Neutral;05PPI;8.246363636363638;5.666666666666667;2;1
Think;Disgust;05PPI;7.458333333333333;1.6666666666666667;2;1
No-Think;Disgust;05PPI;7.237499999999999;2.6;2;1
Baseline;Disgust;05PPI;6.5920000000000005;2.0;2;1
Think;Sadness;05PPI;9.385000000000002;3.0;2;1
No-Think;Sadness;05PPI;7.45;2.6;2;1
Baseline;Sadness;05PPI;7.103333333333334;2.6666666666666665;2;1
Think;Neutral;06DJO;7.519;6.0;2;1
No-Think;Neutral;06DJO;6.5133333333333345;5.666666666666667;2;1
Baseline;Neutral;06DJO;7.043749999999999;8.11111111111111;2;1
Think;Disgust;06DJO;6.055;2.3333333333333335;2;1
No-Think;Disgust;06DJO;5.985;3.0;2;1
Baseline;Disgust;06DJO;5.919999999999999;3.0;2;1
Think;Sadness;06DJO;6.475;3.6666666666666665;2;1
No-Think;Sadness;06DJO;6.6499999999999995;2.6666666666666665;2;1
Baseline;Sadness;06DJO;6.986666666666667;3.0;2;1
Think;Neutral;07CLO;6.634166666666668;5.583333333333333;2;1
No-Think;Neutral;07CLO;7.035454545454544;5.2727272727272725;2;1
Baseline;Neutral;07CLO;6.4772727272727275;6.181818181818182;2;1
Think;Disgust;07CLO;6.625;3.5;2;1
No-Think;Disgust;07CLO;6.02;4.333333333333333;2;1
Baseline;Disgust;07CLO;7.244;4.0;2;1
Think;Sadness;07CLO;5.446666666666666;3.8333333333333335;2;1
No-Think;Sadness;07CLO;6.381666666666667;3.8333333333333335;2;1
Baseline;Sadness;07CLO;7.375;3.25;2;1
Think;Neutral;08LAN;5.7690909090909095;5.181818181818182;2;1
No-Think;Neutral;08LAN;5.768888888888889;6.111111111111111;2;1
Baseline;Neutral;08LAN;5.657272727272727;5.545454545454546;2;1
Think;Disgust;08LAN;5.575;4.0;2;1
No-Think;Disgust;08LAN;5.704;3.0;2;1
Baseline;Disgust;08LAN;5.428333333333334;3.0;2;1
Think;Sadness;08LAN;5.369999999999999;4.2;2;1
No-Think;Sadness;08LAN;5.565;3.3333333333333335;2;1
Baseline;Sadness;08LAN;5.401666666666666;3.0;2;1
Think;Neutral;09SMA;6.962499999999999;5.5;2;1
No-Think;Neutral;09SMA;7.53;5.2727272727272725;2;1
Baseline;Neutral;09SMA;7.4890909090909075;5.090909090909091;2;1
Think;Disgust;09SMA;7.651666666666666;2.0;2;1
No-Think;Disgust;09SMA;6.023999999999999;2.4;2;1
Baseline;Disgust;09SMA;7.0249999999999995;4.166666666666667;2;1
Think;Sadness;09SMA;7.571666666666668;2.8333333333333335;2;1
No-Think;Sadness;09SMA;6.278333333333332;2.6666666666666665;2;1
Baseline;Sadness;09SMA;6.222499999999999;3.25;2;1
Think;Neutral;10LSA;7.366363636363635;6.818181818181818;2;1
No-Think;Neutral;10LSA;6.569999999999999;8.636363636363637;2;1
Baseline;Neutral;10LSA;6.562222222222221;7.0;2;1
Think;Disgust;10LSA;6.864;5.333333333333333;2;1
No-Think;Disgust;10LSA;6.913333333333334;4.666666666666667;2;1
Baseline;Disgust;10LSA;7.170000000000001;5.0;2;1
Think;Sadness;10LSA;6.971666666666667;4.333333333333333;2;1
No-Think;Sadness;10LSA;7.6833333333333345;5.0;2;1
Baseline;Sadness;10LSA;7.428;5.4;2;1
Think;Neutral;11EMA;6.873636363636364;6.818181818181818;2;1
No-Think;Neutral;11EMA;5.949;5.7;2;1
Baseline;Neutral;11EMA;6.206;5.7;2;1
Think;Disgust;11EMA;7.816;4.4;2;1
No-Think;Disgust;11EMA;6.428333333333334;5.166666666666667;2;1
Baseline;Disgust;11EMA;6.898333333333333;4.0;2;1
Think;Sadness;11EMA;6.528333333333333;2.6666666666666665;2;1
No-Think;Sadness;11EMA;7.425;4.5;2;1
Baseline;Sadness;11EMA;7.139999999999999;3.6;2;1
Think;Neutral;12JMA;7.103333333333333;5.583333333333333;2;1
No-Think;Neutral;12JMA;6.775999999999999;6.0;2;1
Baseline;Neutral;12JMA;6.9959999999999996;5.3;2;1
Think;Disgust;12JMA;6.818;3.4;2;1
No-Think;Disgust;12JMA;6.264;3.6;2;1
Baseline;Disgust;12JMA;6.6025;3.25;2;1
Think;Sadness;12JMA;7.638;2.6;2;1
No-Think;Sadness;12JMA;7.640000000000001;3.6666666666666665;2;1
Baseline;Sadness;12JMA;7.173333333333333;2.6666666666666665;2;1
Think;Neutral;13GNI;5.335454545454545;5.545454545454546;2;1
No-Think;Neutral;13GNI;5.725454545454546;5.545454545454546;2;1
Baseline;Neutral;13GNI;5.68;6.777777777777778;2;1
Think;Disgust;13GNI;6.708333333333333;4.333333333333333;2;1
No-Think;Disgust;13GNI;6.043999999999999;6.2;2;1
Baseline;Disgust;13GNI;6.448333333333333;5.333333333333333;2;1
Think;Sadness;13GNI;6.81;3.6666666666666665;2;1
No-Think;Sadness;13GNI;6.024;5.0;2;1
Baseline;Sadness;13GNI;6.579999999999999;3.6666666666666665;2;1
Think;Neutral;14GFA;6.335454545454545;4.636363636363637;2;1
No-Think;Neutral;14GFA;6.115833333333334;5.416666666666667;2;1
