Condition,Emotion,Subject,Recall_with_false,Recall,Group
No-Think,Disgust,36LSA,83.33333333333334,83.33333333333334,2
Baseline,Disgust,36LSA,100.0,100.0,2
Think,Neutral,36LSA,100.0,100.0,2
No-Think,Neutral,36LSA,100.0,100.0,2
Baseline,Neutral,36LSA,100.0,100.0,2
Think,Disgust,37BMA,100.0,100.0,2
No-Think,Disgust,37BMA,100.0,100.0,2
Baseline,Disgust,37BMA,91.66666666666666,91.66666666666666,2
Think,Neutral,37BMA,100.0,100.0,2
No-Think,Neutral,37BMA,100.0,100.0,2
Baseline,Neutral,37BMA,100.0,100.0,2
Think,Disgust,38MAX,100.0,100.0,2
No-Think,Disgust,38MAX,100.0,100.0,2
Baseline,Disgust,38MAX,100.0,100.0,2
Think,Neutral,38MAX,100.0,100.0,2
No-Think,Neutral,38MAX,100.0,100.0,2
Baseline,Neutral,38MAX,100.0,100.0,2
Think,Disgust,39BDA,100.0,100.0,2
No-Think,Disgust,39BDA,83.33333333333334,83.33333333333334,2
Baseline,Disgust,39BDA,100.0,100.0,2
Think,Neutral,39BDA,100.0,100.0,2
No-Think,Neutral,39BDA,100.0,100.0,2
Baseline,Neutral,39BDA,91.66666666666666,91.66666666666666,2
Think,Disgust,40MMA,100.0,100.0,2
No-Think,Disgust,40MMA,58.333333333333336,58.333333333333336,2
Baseline,Disgust,40MMA,91.66666666666666,83.33333333333334,2
Think,Neutral,40MMA,100.0,100.0,2
No-Think,Neutral,40MMA,100.0,100.0,2
Baseline,Neutral,40MMA,100.0,100.0,2
Think,Disgust,41BAL,100.0,100.0,2
No-Think,Disgust,41BAL,100.0,100.0,2
Baseline,Disgust,41BAL,100.0,100.0,2
Think,Neutral,41BAL,100.0,100.0,2
No-Think,Neutral,41BAL,100.0,100.0,2
Baseline,Neutral,41BAL,83.33333333333334,83.33333333333334,2
Think,Disgust,42SPE,90.0,90.0,2
No-Think,Disgust,42SPE,83.33333333333334,83.33333333333334,2
Baseline,Disgust,42SPE,100.0,100.0,2
Think,Neutral,42SPE,91.66666666666666,91.66666666666666,2
No-Think,Neutral,42SPE,91.66666666666666,83.33333333333334,2
Baseline,Neutral,42SPE,100.0,100.0,2
Think,Disgust,44SMU,100.0,100.0,2
No-Think,Disgust,44SMU,91.66666666666666,91.66666666666666,2
Baseline,Disgust,44SMU,100.0,100.0,2
Think,Neutral,44SMU,100.0,100.0,2
No-Think,Neutral,44SMU,100.0,100.0,2
Baseline,Neutral,44SMU,100.0,100.0,2
Think,Disgust,45MJA,100.0,100.0,2
No-Think,Disgust,45MJA,91.66666666666666,91.66666666666666,2
Baseline,Disgust,45MJA,100.0,100.0,2
Think,Neutral,45MJA,100.0,100.0,2
No-Think,Neutral,45MJA,100.0,100.0,2
Baseline,Neutral,45MJA,91.66666666666666,91.66666666666666,2
Think,Disgust,46SQU,100.0,100.0,2
No-Think,Disgust,46SQU,100.0,100.0,2
Baseline,Disgust,46SQU,100.0,100.0,2
Think,Neutral,46SQU,100.0,91.66666666666666,2
No-Think,Neutral,46SQU,100.0,100.0,2
Baseline,Neutral,46SQU,91.66666666666666,91.66666666666666,2
Think,Disgust,47HMA,100.0,100.0,2
No-Think,Disgust,47HMA,91.66666666666666,91.66666666666666,2
Baseline,Disgust,47HMA,100.0,100.0,2
Think,Neutral,47HMA,100.0,100.0,2
No-Think,Neutral,47HMA,91.66666666666666,91.66666666666666,2
Baseline,Neutral,47HMA,100.0,100.0,2
Think,Disgust,50JOC,100.0,100.0,2
No-Think,Disgust,50JOC,100.0,100.0,2
Baseline,Disgust,50JOC,100.0,100.0,2
Think,Neutral,50JOC,100.0,100.0,2
No-Think,Neutral,50JOC,91.66666666666666,91.66666666666666,2
Baseline,Neutral,50JOC,100.0,100.0,2
Think,Disgust,52PFA,72.72727272727273,72.72727272727273,2
No-Think,Disgust,52PFA,66.66666666666666,66.66666666666666,2
Baseline,Disgust,52PFA,66.66666666666666,66.66666666666666,2
Think,Neutral,52PFA,100.0,100.0,2
No-Think,Neutral,52PFA,66.66666666666666,66.66666666666666,2
Baseline,Neutral,52PFA,91.66666666666666,91.66666666666666,2
Think,Disgust,53SMA,91.66666666666666,91.66666666666666,2
No-Think,Disgust,53SMA,83.33333333333334,83.33333333333334,2
Baseline,Disgust,53SMA,100.0,100.0,2
Think,Neutral,53SMA,100.0,100.0,2
No-Think,Neutral,53SMA,91.66666666666666,91.66666666666666,2
Baseline,Neutral,53SMA,91.66666666666666,91.66666666666666,2
Think,Disgust,55MNI,100.0,100.0,2
No-Think,Disgust,55MNI,91.66666666666666,91.66666666666666,2
Baseline,Disgust,55MNI,100.0,100.0,2
Think,Neutral,55MNI,100.0,100.0,2
No-Think,Neutral,55MNI,100.0,100.0,2
Baseline,Neutral,55MNI,100.0,100.0,2
Think,Disgust,56BCL,66.66666666666666,66.66666666666666,2
No-Think,Disgust,56BCL,66.66666666666666,66.66666666666666,2
Baseline,Disgust,56BCL,75.0,75.0,2
Think,Neutral,56BCL,91.66666666666666,91.66666666666666,2
No-Think,Neutral,56BCL,66.66666666666666,66.66666666666666,2
Baseline,Neutral,56BCL,91.66666666666666,91.66666666666666,2
Think,Disgust,57NCO,100.0,100.0,2
No-Think,Disgust,57NCO,90.9090909090909,90.9090909090909,2
Baseline,Disgust,57NCO,91.66666666666666,83.33333333333334,2
Think,Neutral,57NCO,100.0,100.0,2
No-Think,Neutral,57NCO,100.0,100.0,2
Baseline,Neutral,57NCO,100.0,100.0,2
Think,Disgust,58BAN,100.0,100.0,2
No-Think,Disgust,58BAN,100.0,100.0,2
Baseline,Disgust,58BAN,100.0,100.0,2
Think,Neutral,58BAN,100.0,100.0,2
No-Think,Neutral,58BAN,100.0,100.0,2
Baseline,Neutral,58BAN,100.0,100.0,2
Think,Disgust,59DIN,90.9090909090909,90.9090909090909,2
No-Think,Disgust,59DIN,66.66666666666666,66.66666666666666,2
Baseline,Disgust,59DIN,91.66666666666666,91.66666666666666,2
Think,Neutral,59DIN,100.0,100.0,2
No-Think,Neutral,59DIN,91.66666666666666,91.66666666666666,2
Baseline,Neutral,59DIN,100.0,100.0,2
Think,Disgust,60CAN,100.0,100.0,2
No-Think,Disgust,60CAN,75.0,66.66666666666666,2
Baseline,Disgust,60CAN,100.0,100.0,2
Think,Neutral,60CAN,100.0,90.9090909090909,2
No-Think,Neutral,60CAN,100.0,100.0,2
Baseline,Neutral,60CAN,100.0,100.0,2
